Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00119053906143674,0.000176947403296851,0.0585575515702573,0,0,0,0.438726883020005,0.000488430356749696,-1.61674760552789E-07,8.89340811442663E-06,0.000735532461305397,-2.79410615597662E-07,0.00104164866364385,0,0,0,0,0,0,package://demo2/meshes/base_link.STL,0.270588235294118,0.270588235294118,0.270588235294118,1,0,0,0,0,0,0,package://demo2/meshes/base_link.STL,,Part4-1;Body Atas Miring-1;Part6-1;Body Atas-1;Body Samping 2-1;Body Depan-1;Part3-1;Part3-4;Body Bawah-1;Base GP-1;base_link-1;Part3-3;Part3-2;Body Back-1;Part11-1;Part2-3;Part2-4;Part2-2;Part2-1,Coordinate base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left,3.34415344401297E-05,-0.0165234096739332,-9.96715808939883E-06,0,0,0,0.0462990889731472,5.02475713243527E-06,-7.07388466172052E-10,4.51430128435127E-10,6.32652725267394E-06,-8.2614230705414E-10,5.02489742459376E-06,0,0,0,0,0,0,package://demo2/meshes/front_left.STL,0.301960784313725,0.301960784313725,0.301960784313725,1,0,0,0,0,0,0,package://demo2/meshes/front_left.STL,,mecanum-1,Coordinate front left,Axis front left,Frontleft_joint,continuous,0.0468000000000123,0.0794634000000287,-0.017779999999999,0,0,0,base_link,0,-1,0,50,10,,,,,0.1,50,,,,
front_right,-3.55772632004703E-06,0.0165234096670951,-3.47134566110775E-05,0,0,0,0.0462990890135422,5.02519558755712E-06,-1.03365233612496E-09,2.7025083922104E-10,6.32652724612357E-06,-3.38330489866918E-10,5.024458969259E-06,0,0,0,0,0,0,package://demo2/meshes/front_right.STL,0.301960784313725,0.301960784313725,0.301960784313725,1,0,0,0,0,0,0,package://demo2/meshes/front_right.STL,,mecanum-4,Coordinate front right,Axis front right,FrontRight_joint,continuous,0.0467999999999944,-0.0798228000000289,-0.017780000000011,0,0,0,base_link,0,1,0,50,10,,,,,0.1,10,,,,
back_left,3.34415344113298E-05,-0.0165234096739332,-9.96715808100276E-06,0,0,0,0.0462990889731472,5.02475713243527E-06,-7.07388466171891E-10,4.51430128434854E-10,6.32652725267394E-06,-8.26142307053987E-10,5.02489742459376E-06,0,0,0,0,0,0,package://demo2/meshes/back_left.STL,0.301960784313725,0.301960784313725,0.301960784313725,1,0,0,0,0,0,0,package://demo2/meshes/back_left.STL,,mecanum-2,Coordinate back left,Axis back left,BackLeft_joint,continuous,-0.0453003999999591,0.0794634000000286,-0.0177800000000074,0,0,0,base_link,0,-1,0,50,10,,,,,0.1,10,,,,
back_right,-3.55772632003315E-06,0.0165234096670951,-3.47134566110498E-05,0,0,0,0.0462990890135422,5.02519558755712E-06,-1.03365233612524E-09,2.70250839219757E-10,6.32652724612357E-06,-3.38330489866705E-10,5.024458969259E-06,0,0,0,0,0,0,package://demo2/meshes/back_right.STL,0.301960784313725,0.301960784313725,0.301960784313725,1,0,0,0,0,0,0,package://demo2/meshes/back_right.STL,,mecanum-3,Coordinate back right,Axis back right,BackRight_joint,continuous,-0.0453004000000056,-0.0798228000000288,-0.017780000000011,0,0,0,base_link,0,1,0,50,10,,,,,0.1,10,,,,
lidar,8.75598307271686E-05,2.45719922700033E-05,0.0136799210635855,0,0,0,0.0898604100581048,2.85627915714696E-05,-6.06790188056003E-08,2.13425384222246E-08,2.8761600068061E-05,6.03457647574362E-09,4.62610264513428E-05,0,0,0,0,0,0,package://demo2/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://demo2/meshes/lidar.STL,,Part9-1,Coordinate lidar,Axis_Lidar_joint,Lidar_joint,fixed,-0.0092064,0,0.10442,0,0,0,base_link,0,0,0,,,,,,,0.1,10,,,,
gps_joint,0.000694977460061641,-2.42915511064479E-06,-3.32643991463738E-06,0,0,0,0.000935319530363505,9.62520585676608E-08,3.44346358031668E-12,-1.03882523842337E-13,5.7335346190715E-08,-9.18412331237469E-13,3.93390740510555E-08,0,0,0,0,0,0,package://demo2/meshes/gps_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://demo2/meshes/gps_joint.STL,,Part10-1,Coordinate gps,,GPS_joint,fixed,0.10433,-0.0425,0.059456,0,0,0,base_link,0,0,0,,,,,,,0.1,10,,,,
camera_joint,-0.00348876218866281,0.000258238879071997,0.000266655846504031,0,0,0,0.0261448047763111,9.35012569687527E-06,-3.12138622466714E-08,1.49324787665759E-08,2.06103630560299E-06,-3.26028865535605E-09,8.52413750211695E-06,0,0,0,0,0,0,package://demo2/meshes/camera_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://demo2/meshes/camera_joint.STL,,Cam-1,Coordinate camera,Axis_Camera_joint,Camera_joint,fixed,0.104334292145,0.0165,0.0594555999999996,0,0,0,base_link,0,0,0,,,,,,,0.1,10,,,,
basearm,9.22739665732975E-05,-1.25701476214046E-06,0.00255267654186053,0,0,0,0.0296332406525964,1.36039293241669E-05,-7.38500887504922E-15,4.14469205725875E-09,1.37249913080232E-05,1.72234751921517E-17,2.71729039784413E-05,0,0,0,0,0,0,package://demo2/meshes/basearm.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://demo2/meshes/basearm.STL,,Part5-1,Coordinate Armfix,Axis_BaseArm,BaseArm,fixed,-0.00921832440323599,0,0.143150698447992,0,0,0,base_link,0,0,0,,,,,,,,,,,,
arm_joint1,0.0388842012092648,-0.00158881731775529,0.0623511158104539,0,0,0,0.270186283992713,0.000507722802221126,9.88499769226239E-06,-0.000358904472187945,0.000841441845785256,1.08994851899646E-05,0.000410938661062764,0,0,0,0,0,0,package://demo2/meshes/arm_joint1.STL,0.67843137254902,0.67843137254902,0.67843137254902,1,0,0,0,0,0,0,package://demo2/meshes/arm_joint1.STL,,Part7-1,Coordinate Arm1,Axis arm1,Arm_joint1,continuous,0,0,0.00508,0,0,0,basearm,0,0,1,,,,,,,0.1,10,,,,
